Object: Text (1) | Key: __0__SetLanguage
Object: Title Text | Key: __0__SetLanguage
Object: Title Text | Key: __0__SetLanguage
Object: Title Text | Key: __0__SetLanguage
Object: Location Trigger | Key: _onPlayerTriggerEnter
Object: Label | Key: __0__SetLanguage
Object: Item Control | Key: get_CanPickupWeapons
Object: Item Control | Key: _start
Object: Item Control | Key: _Reset
Object: Item Control | Key: _SpawnItems
Object: Item Control | Key: __0__SpawnRevolver
Object: Item Control | Key: __0__UpdateMurdererPickups
Object: Item Control | Key: __0__DropItems
Object: Item Control | Key: _ReenablePickup
Object: Openable | Key: _interact
Object: Openable | Key: _Interact
Object: Openable | Key: _onDeserialization
Object: Openable | Key: __0__SetOpen
Object: Desktop Interaction | Key: _start
Object: Desktop Interaction | Key: _update
Object: Desktop Interaction | Key: _StartRaycasting
Object: Desktop Interaction | Key: _FireInteractCheckRaycast
Object: Patron List | Key: _start
Object: Patron List | Key: _update
Object: Patron List | Key: _ScrollStart
Object: Cookies | Key: _start
Object: Cookies | Key: _Reset
Object: Cookies | Key: __0__PlayEatEffects
Object: Location Trigger (3) | Key: _onPlayerTriggerEnter
Object: Text | Key: __0__SetLanguage
Object: Player Tracker | Key: _start
Object: Player Tracker | Key: _update
Object: Label | Key: __0__SetLanguage
Object: Text | Key: __0__SetLanguage
Object: Trigger | Key: _onPlayerTriggerEnter
Object: Trigger | Key: _onPlayerTriggerExit
Object: Text | Key: __0__SetLanguage
Object: Text Min Players | Key: __0__SetLanguage
Object: Death Diary Control | Key: _start
Object: Death Diary Control | Key: _onDeserialization
Object: Death Diary Control | Key: _Reset
Object: Death Diary Control | Key: _TakeDiary
Object: Death Diary Control | Key: __0__SetKillerIndex
Object: Death Diary Control | Key: __0__DropDiary
Object: Death Diary Control | Key: _DisableKinematic
Object: Trigger | Key: _onPlayerTriggerEnter
Object: Trigger | Key: _onPlayerTriggerExit
Object: KnobR | Key: _interact
Object: KnobR | Key: _Interact
Object: Audio Control | Key: PlayWeaponUnlockedSound
Object: Audio Control | Key: _PlaySpawnMusic
Object: Audio Control | Key: _PlayInvestigationMusic
Object: Audio Control | Key: _PlayBlackoutMusic
Object: Audio Control | Key: _StopMusic
Object: Audio Control | Key: _PlayCountdownSound
Object: Audio Control | Key: _PlaySpawnSoundInnocent
Object: Audio Control | Key: _PlaySpawnSoundKiller
Object: Audio Control | Key: _PlaySpawnSoundInvestigator
Object: Audio Control | Key: _PlayKilledSound
Object: Audio Control | Key: _PlayWinSoundInnocents
Object: Audio Control | Key: _PlayWinSoundKillers
Object: Audio Control | Key: _PlayPowerOffSound
Object: Audio Control | Key: _PlayPowerOnSound
Object: Audio Control | Key: _PlayKeyFindSound
Object: Audio Control | Key: _PlayClueFindSound
Object: Audio Control | Key: _PlayDeathDiarySound
Object: Audio Control | Key: _PlayUsePoisonSound
Object: Audio Control | Key: _PlayWeaponUnlockedSound
Object: Audio Control | Key: _PlayKilledInnocentSound
Object: Game Effects | Key: _UpdateKillerCount
Object: Game Effects | Key: _PlayInnocentSpawnEffects
Object: Game Effects | Key: _PlayInvestigatorSpawnEffects
Object: Game Effects | Key: _PlayKillerSpawnEffects
Object: Game Effects | Key: __0__PlayKilledEffects
Object: Game Effects | Key: _HideEffects
Object: Game Effects | Key: __0__ShowHealth
Object: Game Effects | Key: __0__ChangeHealthType
Object: Game Effects | Key: __0__ShowTimeRemaining
Object: Game Effects | Key: __0__ShowMessage
Object: Game Effects | Key: _HideMessage
Object: Game Effects | Key: __0__PlayKeySpawnedEffects
Object: Game Effects | Key: _PlayKeyFindEffects
Object: Game Effects | Key: _PlayClueFindEffects
Object: Game Effects | Key: _PlayKilledInnocentEffects
Object: Game Effects | Key: _PlayWeaponRestrictionEffects
Object: Game Effects | Key: _PlayMurderReminderEffects
Object: Game Effects | Key: _ToggleMurderReminder
Object: Game Effects | Key: _PlayLastInnocentEffects
Object: Game Effects | Key: _PlayHeightLimitEffects
Object: Game Effects | Key: __0__ShowLocationPopup
Object: Game Effects | Key: _PlayLightAnim
Object: Game Effects | Key: __0__UpdateLightAnimSpeed
Object: Game Effects | Key: _HideLightAnim
Object: Game Effects | Key: _ToggleFootsteps
Object: Scene Control | Key: _start
Object: Scene Control | Key: _Reset
Object: Scene Control | Key: __0__SetBlackout
Object: Scene Control | Key: __0__EnableBlackoutEffects
Object: Scene Control | Key: _PlayClockSound
Object: Scene Control | Key: _StopClockSound
Object: Text (1) | Key: __0__SetLanguage
Object: Text | Key: __0__SetLanguage
Object: Location Trigger (10) | Key: _onPlayerTriggerEnter
Object: Trigger | Key: _onPlayerTriggerEnter
Object: Trigger | Key: _onPlayerTriggerExit
Object: Label | Key: __0__SetLanguage
Object: CabinetSink | Key: _start
Object: CabinetSink | Key: __0__SetBlackout
Object: Text (1) | Key: __0__SetLanguage
Object: HUD | Key: _start
Object: HUD | Key: _update
Object: Blackout Control | Key: get_IsBlackoutActive
Object: Blackout Control | Key: _onDeserialization
Object: Blackout Control | Key: _Reset
Object: Blackout Control | Key: __0_set_IsBlackoutActive
Object: Blackout Control | Key: _StartBlackoutTimer
Object: Blackout Control | Key: _BlackoutTimerTick
Object: Blackout Control | Key: _StartBlackoutSynced
Object: Blackout Control | Key: _StopBlackoutSynced
Object: Blackout Control | Key: __0__SetBlackoutDurSynced
Object: Blackout Control | Key: _DoBlackout
Object: Blackout Control | Key: _EndBlackout
Object: Blackout Control | Key: _BlackoutEndCheck
Object: Piano | Key: get_IsMusicPlaying
Object: Piano | Key: PlayMusic0
Object: Piano | Key: PlayMusic1
Object: Piano | Key: PlayMusic2
Object: Piano | Key: PlayMusic3
Object: Piano | Key: PlayMusic4
Object: Piano | Key: _interact
Object: Piano | Key: _Interact
