Object: Collider Toggle | Key: _interact
Object: Pens Button (1) | Key: _interact
Object: Chairs | Key: _interact
Object: Pens Button | Key: _interact
Object: Cinema Spawn TP | Key: Teleport
Object: Cinema Spawn TP | Key: _interact
Object: Purple | Key: Activate
Object: Purple | Key: Deactivate
Object: Purple | Key: Toggle
Object: Purple | Key: ResetOneShot
Object: Purple | Key: Trigger
Object: Purple | Key: _FireTrigger
Object: Cinema Area | Key: _onPlayerTriggerEnter
Object: Cinema Area | Key: _onPlayerTriggerExit
Object: Cinema Area | Key: _onPlayerTriggerEnter
Object: Cinema Area | Key: _onPlayerTriggerExit
Object: Cinema Area | Key: _onPlayerTriggerEnter
Object: Cave | Key: _onPlayerTriggerEnter
Object: Cave Trigger | Key: _onPlayerTriggerEnter
Object: Controller Master | Key: RetryLoad
Object: Controller Master | Key: _start
Object: Controller Master | Key: _onStringLoadSuccess
Object: Controller Master | Key: __0_OnStringLoadFailed
Object: Cave (4) | Key: _onPlayerTriggerEnter
Object: Cinema TP | Key: Teleport
Object: Cinema TP | Key: _interact
Object: Room Movie Area | Key: _onPlayerTriggerEnter
Object: Room Movie Area | Key: _onPlayerTriggerExit
Object: Room Movie Area | Key: _onPlayerTriggerEnter
Object: Slider | Key: OnSlideUpdate
Object: Slider | Key: modifyPosition
Object: Slider | Key: _start
Object: Slider | Key: _onDeserialization
Object: Private Room TP | Key: Teleport
Object: Private Room TP | Key: _interact
Object: Private Room TP | Key: _interact
Object: Cave (2) | Key: _onPlayerTriggerEnter
Object: Transparent Mirror | Key: _interact
Object: Sleep Area | Key: _onPlayerTriggerEnter
Object: Sleep Area | Key: _onPlayerTriggerExit
Object: Sleep Area | Key: _onPlayerTriggerEnter
Object: Comfy Area | Key: _onPlayerTriggerEnter
Object: Comfy Area | Key: _onPlayerTriggerExit
Object: Comfy Area | Key: _onPlayerTriggerEnter
Object: hairbrush | Key: SwitchON
Object: hairbrush | Key: SwitchOFF
Object: hairbrush | Key: _start
Object: hairbrush | Key: _onPickupUseDown
Object: hairbrush | Key: _onPickupUseUp
Object: ScollV (1) | Key: _start
Object: ScollV (1) | Key: _update
Object: Dark | Key: Activate
Object: Dark | Key: Deactivate
Object: Dark | Key: Toggle
Object: Dark | Key: ResetOneShot
Object: Dark | Key: Trigger
Object: Dark | Key: _FireTrigger
Object: Rain-00 (1) | Key: _interact
