Object: Spectator System | Key: EveryFrameUpdate
Object: Spectator System | Key: ToggleActive
Object: Spectator System | Key: SetInActive
Object: Spectator System | Key: OnGameStart
Object: Spectator System | Key: OnGameEnd
Object: Spectator System | Key: NextPlayer
Object: Spectator System | Key: PreviousPlayer
Object: Spectator System | Key: ToggleSpectateMode
Object: Spectator System | Key: OnNewCameraLive
Object: Spectator System | Key: SetupHeatPlayers
Object: Spectator System | Key: _start
Object: Spectator System | Key: __0_AddHeatToPlayerSlot
Object: Spectator System | Key: __0_ResetHeatAtPlayerSlot
Object: Spectator System | Key: __0_RemoveHeatFromPlayerSlot
Object: SyncedPoolPickup | Key: get_IsInPool
Object: SyncedPoolPickup | Key: get_IsInSlot
Object: SyncedPoolPickup | Key: get_AssignedSlot
Object: SyncedPoolPickup | Key: EnsureIsAtSpawnSpot
Object: SyncedPoolPickup | Key: ResetPoolPickup
Object: SyncedPoolPickup | Key: _onVarChange_isInPool
Object: SyncedPoolPickup | Key: _onVarChange_isInSlot
Object: SyncedPoolPickup | Key: _onVarChange_assignedSlot
Object: SyncedPoolPickup | Key: __0_SetIsInPool
Object: SyncedPoolPickup | Key: __0_SetIsInSlot
Object: SyncedPoolPickup | Key: __0_SetAssignedSlot
Object: SyncedPoolPickup | Key: get_IsInPool
Object: SyncedPoolPickup | Key: get_IsInSlot
Object: SyncedPoolPickup | Key: get_AssignedSlot
Object: SyncedPoolPickup | Key: EnsureIsAtSpawnSpot
Object: SyncedPoolPickup | Key: ResetPoolPickup
Object: SyncedPoolPickup | Key: _onVarChange_isInPool
Object: SyncedPoolPickup | Key: _onVarChange_isInSlot
Object: SyncedPoolPickup | Key: _onVarChange_assignedSlot
Object: SyncedPoolPickup | Key: __0_SetIsInPool
Object: SyncedPoolPickup | Key: __0_SetIsInSlot
Object: SyncedPoolPickup | Key: __0_SetAssignedSlot
Object: GoldCaptureArea | Key: OnGoldCollected
Object: GoldCaptureArea | Key: GetAmountOfGoldCollected
Object: GoldCaptureArea | Key: _onTriggerEnter
Object: GunSyncer | Key: get_HitLocation
Object: GunSyncer | Key: get_HitPlayer
Object: GunSyncer | Key: get_IsHeld
Object: GunSyncer | Key: get_BulletIndex
Object: GunSyncer | Key: _onVarChange_hitLocation
Object: GunSyncer | Key: _onVarChange_hitPlayer
Object: GunSyncer | Key: _onVarChange_isHeld
Object: GunSyncer | Key: _onVarChange_bulletIndex
Object: GunSyncer | Key: __0_SetNewHitLocation
Object: GunSyncer | Key: __0_SetIsHeld
Object: SyncedPoolPickup | Key: get_IsInPool
Object: SyncedPoolPickup | Key: get_IsInSlot
Object: SyncedPoolPickup | Key: get_AssignedSlot
Object: SyncedPoolPickup | Key: EnsureIsAtSpawnSpot
Object: SyncedPoolPickup | Key: ResetPoolPickup
Object: SyncedPoolPickup | Key: _onVarChange_isInPool
Object: SyncedPoolPickup | Key: _onVarChange_isInSlot
Object: SyncedPoolPickup | Key: _onVarChange_assignedSlot
Object: SyncedPoolPickup | Key: __0_SetIsInPool
Object: SyncedPoolPickup | Key: __0_SetIsInSlot
Object: SyncedPoolPickup | Key: __0_SetAssignedSlot
Object: SyncedPickupablesPool Revolvers | Key: GetFromPool
Object: SyncedPickupablesPool Revolvers | Key: SetPoolPickupsPickupable
Object: SyncedPickupablesPool Revolvers | Key: SetPoolPickupsUnpickupable
Object: SyncedPickupablesPool Revolvers | Key: ResetAllPoolPickups
Object: SyncedPickupablesPool Revolvers | Key: _start
Object: SyncedPickupablesPool Revolvers | Key: __0_OnSyncedPoolPickupIsInSlotIsSetFalse
Object: SyncedPoolPickup | Key: get_IsInPool
Object: SyncedPoolPickup | Key: get_IsInSlot
Object: SyncedPoolPickup | Key: get_AssignedSlot
Object: SyncedPoolPickup | Key: EnsureIsAtSpawnSpot
Object: SyncedPoolPickup | Key: ResetPoolPickup
Object: SyncedPoolPickup | Key: _onVarChange_isInPool
Object: SyncedPoolPickup | Key: _onVarChange_isInSlot
Object: SyncedPoolPickup | Key: _onVarChange_assignedSlot
Object: SyncedPoolPickup | Key: __0_SetIsInPool
Object: SyncedPoolPickup | Key: __0_SetIsInSlot
Object: SyncedPoolPickup | Key: __0_SetAssignedSlot
Object: SyncedPoolPickup | Key: get_IsInPool
Object: SyncedPoolPickup | Key: get_IsInSlot
Object: SyncedPoolPickup | Key: get_AssignedSlot
Object: SyncedPoolPickup | Key: EnsureIsAtSpawnSpot
Object: SyncedPoolPickup | Key: ResetPoolPickup
Object: SyncedPoolPickup | Key: _onVarChange_isInPool
Object: SyncedPoolPickup | Key: _onVarChange_isInSlot
Object: SyncedPoolPickup | Key: _onVarChange_assignedSlot
Object: SyncedPoolPickup | Key: __0_SetIsInPool
Object: SyncedPoolPickup | Key: __0_SetIsInSlot
Object: SyncedPoolPickup | Key: __0_SetAssignedSlot
Object: SyncedPoolPickup | Key: get_IsInPool
Object: SyncedPoolPickup | Key: get_IsInSlot
Object: SyncedPoolPickup | Key: get_AssignedSlot
Object: SyncedPoolPickup | Key: EnsureIsAtSpawnSpot
Object: SyncedPoolPickup | Key: ResetPoolPickup
Object: SyncedPoolPickup | Key: _onVarChange_isInPool
Object: SyncedPoolPickup | Key: _onVarChange_isInSlot
Object: SyncedPoolPickup | Key: _onVarChange_assignedSlot
Object: SyncedPoolPickup | Key: __0_SetIsInPool
Object: SyncedPoolPickup | Key: __0_SetIsInSlot
Object: SyncedPoolPickup | Key: __0_SetAssignedSlot
Object: GunSyncer | Key: get_HitLocation
Object: GunSyncer | Key: get_HitPlayer
Object: GunSyncer | Key: get_IsHeld
Object: GunSyncer | Key: get_BulletIndex
Object: GunSyncer | Key: _onVarChange_hitLocation
Object: GunSyncer | Key: _onVarChange_hitPlayer
Object: GunSyncer | Key: _onVarChange_isHeld
Object: GunSyncer | Key: _onVarChange_bulletIndex
Object: GunSyncer | Key: __0_SetNewHitLocation
Object: GunSyncer | Key: __0_SetIsHeld
Object: SyncedPoolPickup | Key: get_IsInPool
Object: SyncedPoolPickup | Key: get_IsInSlot
Object: SyncedPoolPickup | Key: get_AssignedSlot
Object: SyncedPoolPickup | Key: EnsureIsAtSpawnSpot
Object: SyncedPoolPickup | Key: ResetPoolPickup
Object: SyncedPoolPickup | Key: _onVarChange_isInPool
